curated_smiles,receptor,pChEMBL,molecule_chembl_id
Cc1cccc(N2CCN(CCCNC(=O)c3cc(-c4ccccc4)n(-c4ccc(F)cc4)c3C)CC2)c1C,5HT2A,8.161150909262744,CHEMBL1087773
Cc1cccc(N2CCN(CCCNC(=O)c3cc(-c4ccccc4)n(C)c3C)CC2)c1C,5HT2A,7.244125144327507,CHEMBL1081644
Cc1cccc(N2CCN(CCCNC(=O)c3cc(-c4ccccc4)n(CC(C)C)c3C)CC2)c1C,5HT2A,6.047207556955907,CHEMBL1088164
Cc1cccc(N2CCN(CCCNC(=O)c3cc(-c4ccccc4)n(CC4CCCCC4)c3C)CC2)c1C,5HT2A,5.909036923404269,CHEMBL1087896
Cc1cccc(N2CCN(CCCNC(=O)c3cc(-c4ccccc4)n(Cc4ccccc4)c3C)CC2)c1C,5HT2A,6.649751981665837,CHEMBL1087895
Cc1cccc(N2CCN(CCCNC(=O)c3cc(-c4ccccc4)n(N4CCCCC4)c3C)CC2)c1C,5HT2A,6.876148359032914,CHEMBL1088165
Cc1cccc(N2CCN(CCCNC(=O)c3cc(C(C)(C)C)n(C)c3C)CC2)c1C,5HT2A,6.413412695328245,CHEMBL1214596
Cc1cccc(N2CCN(CCCNC(=O)c3cn(-c4ccccc4)c(-c4ccccc4)n3)CC2)c1C,5HT2A,7.87942606879415,CHEMBL3216501
Cc1cccc(N2CCN(CCCNC(=O)c3cn[nH]c3C)CC2)c1,5HT2A,7.481486060122112,CHEMBL3461530
Cc1cccc(N2CCN(CCCNC(=O)c3cn[nH]c3C)CC2)c1,D2,5.794254459057338,CHEMBL3461530
Cc1cccc(N2CCN(CCCNC(=O)c3cn[nH]c3C)CC2)c1,H1,7.356547323513812,CHEMBL3461530
Cc1cccc(N2CCN(CCCNC(=O)c3nc(-c4ccccc4)n(-c4ccc(F)cc4)c3C)CC2)c1C,5HT2A,7.555955204081924,CHEMBL3216737
Cc1cccc(N2CCN(CCCNC(=O)c3nc(-c4ccccc4)n(-c4ccc5c(c4)OCCO5)c3C)CC2)c1C,5HT2A,7.721246399047171,CHEMBL3215638
Cc1cccc(N2CCN(CCCNC(=O)c3nc(-c4ccccc4)n(-c4ccccc4)c3C)CC2)c1C,5HT2A,7.531652669587842,CHEMBL3217169
Cc1cccc(N2CCN(CCCNC(=O)c3nc(C(C)C)n(-c4ccccc4)c3C)CC2)c1C,5HT2A,6.978810700930062,CHEMBL3216745
Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(-c4ccc(Cl)cc4)c3C)CC2)c1C,5HT2A,7.173925197299173,CHEMBL3215862
Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(-c4ccc(F)cc4)c3C)CC2)c1C,5HT2A,6.928486194904911,CHEMBL3217173
Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(-c4ccc5c(c4)OCCO5)c3C)CC2)c1C,5HT2A,7.391473966422806,CHEMBL3215864
Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(-c4cccc(Cl)c4)c3C)CC2)c1C,5HT2A,7.014124642691606,CHEMBL3216974
Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(-c4ccccc4)c3C)CC2)c1C,5HT2A,7.040958607678906,CHEMBL3217176
Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(-c4ccccc4Cl)c3C)CC2)c1C,5HT2A,7.096910013008056,CHEMBL3216298
Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(-c4ccccc4F)c3C)CC2)c1C,5HT2A,7.188424994129407,CHEMBL3216741
Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(-c4ccccn4)c3C)CC2)c1C,5HT2A,6.527243550682788,CHEMBL3681366
Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(CC(C)C)c3C)CC2)c1C,5HT2A,6.66354026615147,CHEMBL3216746
Cc1cccc(N2CCN(CCN(C)C[C@]34CC[C@H](CC3)C4(C)C)C2=O)c1,D2,6.599997654072045,CHEMBL560270
Cc1cccc(N2CCN(CCN3CCCCCC3)C2=O)c1,D2,7.799990182467421,CHEMBL1081311
Cc1cccc(N2CCN(CCNC(=O)Cn3c(=O)c4cccn4c4cccnc43)CC2)c1C,Delta,4.494850021680094,CHEMBL1714715
Cc1cccc(N2CCN(CCNC(=O)c3cc(C(C)(C)C)n(C)c3C)CC2)c1C,5HT2A,7.443697499232712,CHEMBL1214595
Cc1cccc(N2CCN(CCNC(=O)c3nc(C(C)C)n(-c4ccccc4)c3C)CC2)c1C,5HT2A,7.795880017344075,CHEMBL3681362
Cc1cccc(N2CCN(CCNC(=O)c3nc(C)n(-c4ccc(F)cc4)c3C)CC2)c1C,5HT2A,7.638272163982407,CHEMBL3681363
Cc1cccc(N2CCN(CCNC(=O)c3nc(C)n(-c4ccc5c(c4)OCO5)c3C)CC2)c1C,5HT2A,7.537602002101044,CHEMBL3681364
Cc1cccc(N2CCN(CCNc3cncc(Cl)n3)CC2)c1,5HT2A,5.0,CHEMBL4165881
Cc1cccc(N2CCN(CCNc3cncc(Cl)n3)CC2)c1,D2,5.0,CHEMBL4165881
Cc1cccc(N2CCN(CCNc3cncc(Cl)n3)CC2)c1,H1,5.609948503541013,CHEMBL4165881
Cc1cccc(N2CCN(CC[C@H]3CC[C@H](NC(=O)c4cccs4)CC3)CC2)c1,D2,8.200659450546418,CHEMBL80875
Cc1cccc(N2CCN(CCc3ccc4[nH]nnc4c3)CC2)c1C,5HT1A,7.079981083971085,CHEMBL184770
Cc1cccc(N2CCN(CCc3ccc4[nH]nnc4c3)CC2)c1C,5HT2A,8.289967300934247,CHEMBL184770
Cc1cccc(N2CCN(CCc3ccc4[nH]nnc4c3)CC2)c1C,D2,7.289967300934246,CHEMBL184770
Cc1cccc(N2CCN(C[C@@H](O)CNC(=O)c3nc(C)n(-c4ccccc4)c3C)CC2)c1C,5HT2A,6.189767482004916,CHEMBL3216958
Cc1cccc(N2CCN(C[C@@H](O)CNC(=O)c3nc(C)n(-c4ccccc4F)c3C)CC2)c1C,5HT2A,6.61261017366127,CHEMBL3216079
Cc1cccc(N2CCN(C[C@H](O)CNC(=O)c3nc(C)n(-c4ccccc4)c3C)CC2)c1C,5HT2A,7.139661993429006,CHEMBL3216076
Cc1cccc(N2CCN(C[C@H](O)CNC(=O)c3nc(C)n(-c4ccccc4F)c3C)CC2)c1C,5HT2A,6.568636235841012,CHEMBL3216077
Cc1cccc(N2CNC(=O)C23CCN(C2Cc4cccc5cccc2c45)CC3)c1,Delta,6.299997602857746,CHEMBL308522
Cc1cccc(NC(=O)C2CCCN(C(=O)Nc3ccccc3)C2)c1C,5HT1A,4.301029995663981,CHEMBL1345618
Cc1cccc(NC(=O)CCN2CCC(c3ccccn3)CC2)c1,D2,5.415880937096295,CHEMBL4464861
Cc1cccc(NC(=O)CCN2CCN(c3ccccn3)CC2)c1,D2,5.493950957681675,CHEMBL4454068
Cc1cccc(NC(=O)CCN2CCN(c3ncccn3)CC2)c1,D2,5.329609941570389,CHEMBL4588808
Cc1cccc(NC(=O)CN2CCC(c3ccc(Cl)cc3)CC2)c1,D2,4.1460767919526935,CHEMBL4436479
Cc1cccc(NC(=O)CN2CCC(c3cccc[n+]3[O-])CC2)c1,D2,5.0,CHEMBL219185
Cc1cccc(NC(=O)CN2CCC(c3ccccc3)CC2)c1,D2,5.599808783657059,CHEMBL216393
Cc1cccc(NC(=O)CN2CCC(c3ccccn3)CC2)c1,D2,5.233141188978582,CHEMBL375596
Cc1cccc(NC(=O)CN2CCN(c3ccc(Cl)cn3)CC2)c1,D2,4.240489839279201,CHEMBL4572245
Cc1cccc(NC(=O)CN2CCN(c3cccc4ccccc34)CC2)c1,D2,4.996250118705345,CHEMBL4473652
Cc1cccc(NC(=O)CN2CCN(c3ccccn3)CC2)c1,D2,4.89780433404035,CHEMBL4448320
Cc1cccc(NC(=O)CN2CCN(c3ncccn3)CC2)c1,D2,5.136822252003045,CHEMBL4443054
Cc1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(C)C2=O)c1,5HT2A,5.669399560733435,CHEMBL9387
Cc1cccc(NC(=O)Nc2ccc(-c3cnco3)c(Cl)c2)c1,Kappa,5.0,CHEMBL292258
Cc1cccc(NC(=O)Nc2ccc(-c3cnco3)cc2)c1,Kappa,5.0,CHEMBL62232
Cc1cccc(NC(=O)Nc2ccc3c(-c4cnco4)c[nH]c3c2)c1,Kappa,5.0,CHEMBL112444
Cc1cccc(NC(=S)NC(=O)CCc2ccccc2)c1,Delta,4.033999142371216,CHEMBL1378322
Cc1cccc(NC(S)=NCC(c2cccnc2)N(C)C)c1,Delta,4.033952178923546,CHEMBL1719184
Cc1cccc(NC(S)=NCC(c2cccnc2)N(C)C)c1C,Delta,4.749214173312966,CHEMBL1307063
Cc1cccc(NS(=O)(=O)c2ccc(N3CCNC3=O)cc2)c1,Kappa,6.698970004336019,CHEMBL1911758
Cc1cccc(Nc2cc(-c3ccccc3)nc3ccc(NC(=O)Nc4ccc(N(CCCl)CCCl)cc4)cc23)c1,Kappa,5.558567040139186,CHEMBL3291271
Cc1cccc(Nc2cc(C)nc3ccc(NC(=O)Nc4ccc(N(CCCl)CCCl)cc4)cc23)c1,Kappa,5.82088976344566,CHEMBL3291264
Cc1cccc(Nc2ccccc2C(=O)O)c1C,5HT1A,5.0,CHEMBL686
Cc1cccc(Nc2ccccc2C(=O)O)c1C,5HT2A,5.0,CHEMBL686
Cc1cccc(Nc2ccccc2C(=O)O)c1C,D2,5.0,CHEMBL686
Cc1cccc(Nc2ccccc2C(=O)O)c1C,Delta,4.522878745280337,CHEMBL686
Cc1cccc(Nc2ccccc2C(=O)O)c1C,H1,5.0,CHEMBL686
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,5HT1A,5.0,CHEMBL1148
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,5HT2A,5.0,CHEMBL1148
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,D2,5.0,CHEMBL1148
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,Delta,4.522878745280337,CHEMBL1148
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,H1,5.0,CHEMBL1148
Cc1cccc(Nc2nc3c(S(=O)(=O)c4ccc(C(C)C)cc4)nnn3c3ccsc23)c1,5HT6,6.229147988357855,CHEMBL1170281
Cc1cccc(Nc2nc3c(S(=O)(=O)c4ccc(C(C)C)cc4)nnn3c3ccsc23)c1C,5HT6,6.0,CHEMBL1170463
Cc1cccc(Nc2nc3c(S(=O)(=O)c4ccc(Cl)cc4)nnn3c3ccsc23)c1C,5HT6,6.096910013008056,CHEMBL1170687
Cc1cccc(O)c1-c1cccc2c1-c1cccc3c1[C@@H](C2)N(C)CC3,5HT1A,6.903894747470054,CHEMBL26907
Cc1cccc(O)c1-c1cccc2c1-c1cccc3c1[C@@H](C2)N(C)CC3,D2,5.536571645525154,CHEMBL26907
Cc1cccc(O)c1C(=O)C1=CCCCN2CCC[C@@H]12,Delta,3.6989700043360174,CHEMBL1080674
Cc1cccc(O)c1C(=O)C1=CCCN2CCC[C@@H]12,Delta,4.026872146400302,CHEMBL1076554
Cc1cccc(O)c1C(=O)C1=CCCN2CCC[C@H]12,Delta,5.208060700750687,CHEMBL608815
Cc1cccc(O)c1C(=O)C1=CCN2CCC[C@@H]12,Delta,3.6989700043360174,CHEMBL1082013
Cc1cccc(O)c1C(=O)[C@@H]1[C@H]2CCCN2CC[C@@H]1O,Delta,4.454692883534176,CHEMBL608811
Cc1cccc(OCCC(=O)NCC(c2ccccc2)N(C)C)c1,Delta,4.033909916162324,CHEMBL1607240
Cc1cccc(OCCCN2CCN(c3ccccc3)CC2)c1C,5HT1A,8.267606240177031,CHEMBL3921558
Cc1cccc(OCCN2CCC(NS(=O)(=O)c3ccccc3)CC2)c1,5HT1A,5.676129393459491,CHEMBL4213238
Cc1cccc(OCCN2CCN(c3ccccc3)CC2)c1C,5HT1A,7.910094888560602,CHEMBL3949348
Cc1cccc(OCCNCC2(F)CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)c1,5HT1A,8.275068422995734,CHEMBL4760621
Cc1cccc(OCCNCC2(F)CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)c1,D2,6.0,CHEMBL4760621
Cc1cccc(OCCNCC2(F)CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)n1,5HT1A,9.045757490560677,CHEMBL5870378
Cc1cccc(OCCNCC2(F)CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)n1,D2,6.0,CHEMBL5870378
Cc1cccc(OCCNCCCOc2ccccc2)c1,D2,7.212333322299372,CHEMBL128232
Cc1cccc(OCCOCCN2CCN(CCc3ccccc3)CC2)c1C,5HT2A,5.907172270539892,CHEMBL4217761
Cc1cccc(OCCOCCN2CCN(CCc3ccccc3)CC2)c1C,5HT6,6.698970004336019,CHEMBL4217761
Cc1cccc(OCCOCCN2CCN(CCc3ccccc3)CC2)c1C,D2,5.918652692195868,CHEMBL4217761
Cc1cccc(OCc2nc(N)nc(N3CCN(C)CC3)n2)c1,5HT1A,4.821886747685368,CHEMBL4532712
Cc1cccc(OCc2nc(N)nc(N3CCN(C)CC3)n2)c1,5HT2A,5.643209539648284,CHEMBL4532712
Cc1cccc(OCc2nc(N)nc(N3CCN(C)CC3)n2)c1,5HT6,6.684029654543082,CHEMBL4532712
