"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3642816";"";"None";"430.59";"0";"2.36";"BDBM106551";"CC[C@@H](O)CC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1";"Ki";"'='";"842.7";"nM";"6.07";"";"225021";"UO_0000065";"14.11";"0.27";"3.71";"7.79";"0";"CHEMBL3705135";"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"EBNA";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639183";"37";"BindingDB Patent Bioactivity Data";"";"2013";"None";"";"";"";"842.7"
"CHEMBL53463";"DOXORUBICIN";"4.0";"543.53";"3";"0.00";"Dox";"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1";"Ki";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909140";"DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO";"Membrane";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308072";"";"";"Not Active";""
"CHEMBL4068924";"";"None";"356.86";"0";"3.03";"22; PD-892119";"OCc1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)cc1Cl";"Ki";"'>'";"5882.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5235423";"Binding affinity to human D2R assessed as inhibition constant by Cheng-Prusoff equation analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5233263";"1";"Scientific Literature";"Eur J Med Chem";"2021";"None";"";"";"";"5882.0"
"CHEMBL862";"GUANFACINE";"4.0";"246.10";"0";"1.55";"GUANFACINE";"N=C(N)NC(=O)Cc1c(Cl)cccc1Cl";"Ki";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909140";"DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO";"Membrane";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308072";"";"";"Not Active";""
"CHEMBL3642692";"";"None";"406.55";"0";"2.45";"BDBM106425";"CS(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4occc34)CC2)CC1";"Ki";"'='";"866.0";"nM";"6.06";"";"224895";"UO_0000065";"14.91";"0.30";"3.61";"7.71";"0";"CHEMBL3705135";"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"EBNA";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639183";"37";"BindingDB Patent Bioactivity Data";"";"2013";"None";"";"";"";"866.0"
"CHEMBL3695440";"";"None";"356.51";"0";"3.50";"BDBM138483";"O=CN[C@H]1CC[C@H](CCN2CCC(c3cccc4c3CCO4)CC2)CC1";"Ki";"'='";"167.2";"nM";"6.78";"";"272425";"UO_0000065";"19.01";"0.36";"3.28";"16.30";"0";"CHEMBL3705383";"Radioligand Binding Assay: Aliquots of membrane preparations were thawed at RT, resupended in assay buffer (D2, D3: 50 mM Tris-HCl, 120 mM NaCl, 5 mM MgCl2, 1 mM EDTA, 5 mM KCl, 1.5 mM CaCl2, pH=7.4; 5-HT2A: 50 mM Tris-HCl, 10 mM MgCl2, 1 mM EGTA, pH=7.4), homogenized with a Polytron for 20-30 sec at 12.000 rpm and adjusted to a final concentration of approximately 7.5 ug protein/well (D2, D3) and 15 ug protein/well (5-HT2A), respectively.The binding affinity (Ki) of the compounds was determined using radioligand binding. Membranes were incubated in a total volume of 200 ul with a fixed concentration of radioligand (final concentration approximately 0.7 nM [3H]-spiperone for D2, 0.5 nM [3H]-spiperone for D3, and 1.1 nM [3H]-ketanserin for 5-HT2A) and ten concentrations of test compound in ranging between 10 uM-0.1 nM for 1 h at RT. At the end of the incubation, the reaction mixtures were filtered on to unifilter 96-well white microplates with bonded GF/C filters.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638568";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"167.2"
"CHEMBL104138";"";"None";"398.96";"0";"3.58";"5c";"C[C@@H]1CN(Cc2ccc(Cl)cc2)CC[N@@+]1(C)CC(=O)N1CCc2ccccc21";"Ki";"'='";"4742.0";"nM";"5.32";"";"";"UO_0000065";"13.34";"0.26";"1.74";"22.61";"0";"CHEMBL872891";"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134936";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"4742.0"
"CHEMBL7927";"FAUC 113";"None";"326.83";"0";"3.31";"5, FAUC 113";"Clc1ccc(N2CCN(Cc3cnn4ccccc34)CC2)cc1";"Ki";"'='";"4300.0";"nM";"5.37";"";"";"UO_0000065";"16.42";"0.32";"2.06";"22.57";"1";"CHEMBL4039193";"Inhibition of human dopamine D2 (short) receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4038300";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"4300.0"
"CHEMBL7927";"FAUC 113";"None";"326.83";"0";"3.31";"5, FAUC 113";"Clc1ccc(N2CCN(Cc3cnn4ccccc34)CC2)cc1";"Ki";"'='";"3200.0";"nM";"5.50";"";"";"UO_0000065";"16.81";"0.33";"2.18";"23.11";"1";"CHEMBL4039194";"Inhibition of human dopamine D2 (long) receptor (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4038300";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"3200.0"
"CHEMBL104756";"";"None";"397.95";"0";"3.82";"5d";"C[C@@H]1CN(CC(=O)N2CCc3ccccc32)C[C@H](C)N1Cc1ccc(Cl)cc1";"Ki";"'='";"8620.0";"nM";"5.06";"";"";"UO_0000065";"12.73";"0.25";"1.24";"18.90";"0";"CHEMBL872891";"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134936";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"8620.0"
"CHEMBL4074104";"";"None";"286.42";"0";"3.09";"2";"CC1CCN(CCCN2C(=O)CCc3ccccc32)CC1";"Ki";"'='";"4466.84";"nM";"5.35";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4048883";"Displacement of [3H]N-methylspiperone from human dopamine D2 receptor expressed in HEK293 cell membranes after 1 hr by scintillation counting method";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4043296";"1";"Scientific Literature";"J Med Chem";"2018";"CHEMBL3307715";"";"";"";"5.35"
"CHEMBL38656";"";"None";"327.42";"0";"3.94";"17b";"CCCN(CCC)C1COc2c(cccc2C(=O)c2ccoc2)C1";"Ki";"'='";"1360.0";"nM";"5.87";"";"";"UO_0000065";"17.92";"0.33";"1.93";"13.75";"0";"CHEMBL669149";"In vitro ability to inhibit [3H]raclopride binding to cloned human D2A receptors expressed in mouse fibroblast (LtK-) cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132392";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";"";"1360.0"
"CHEMBL3321791";"";"None";"405.97";"1";"5.48";"9";"OC1(c2ccc(Cl)cc2)CC2CCC(C1)N2CCCSc1cccc(F)c1";"Ki";"'='";"27.0";"nM";"7.57";"";"";"UO_0000065";"18.64";"0.38";"2.09";"32.25";"0";"CHEMBL3366156";"Displacement of [3H]N-methylspiperone from human dopamine D2 receptor by liquid scintillation counting";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352364";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"27.0"
"CHEMBL1457510";"";"None";"325.36";"0";"2.79";"L-DTHB; 14f";"COc1c(O)ccc2c1CN1CCc3cc4c(cc3[C@@H]1C2)OCO4";"Ki";"'='";"49.2";"nM";"7.31";"";"";"UO_0000065";"22.46";"0.42";"4.52";"14.28";"0";"CHEMBL3999639";"Displacement of [3H]N-methylspiperone from human dopamine D2 receptor after 1 hr";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3997822";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";"";"49.2"
"CHEMBL4088416";"";"None";"327.36";"0";"2.60";"7a";"O=S(=O)(c1ccccc1)n1cc2c3c(cccc31)OC(CO)=C2";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3997508";"Displacement of [3H]-Raclopride from D2L receptor (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3994665";"1";"Scientific Literature";"ACS Med Chem Lett";"2017";"None";"";"";"";"10000.0"
